Produit;Marque;Pays;Energie (kcal/100g);Graisse (g/100g);Sucres (g/100g);Protéines (g/100g);Score nutritionnel;;;;;
Peanut Delight;Nakd;United-kingdom;443.0;22.9;34.3;12.0;14.0;;;;;
Organic Soya Unsweetened U.H.T.;Alpro;United-kingdom;32.0;1.9;0.0;3.3;-5.0;;;;;
Coconut Milk;ktc;France;109.0;11.0;1.3;0.5;18.0;;;;;
Oat M*lk;minor figures;France;46.5;2.0;3.25;0.25;5.0;;;;;
biotiful gut health kefir protues;Biotiful;United-kingdom;66.0;0.4;3.52;12.0;2.0;;;;;
Strawberry Bio Live Yoghurt;Yeo Valley;France;98.0;4.0;10.7;4.5;5.0;;;;;
Authentic Greek Yoghurt;Taste The Difference;United-kingdom;137.0;10.7;3.2;6.0;6.0;;;;;
Coconut milk;Aldi, Asia Specialities;Ireland;171.0;16.9;2.0;1.1;11.0;;;;;
Natural Ingredients Buttery;Flora;United-kingdom;677.0;75.0;0.5;0.5;19.0;;;;;
Full Fat Soft Cheese;Sainsbury's;United-kingdom;255.0;24.5;3.1;4.7;14.0;;;;;
Philadelphia 200g;Mondelez, Mondelēz International, Philadelphia, Philadelphia - Mondelēz International;Germany;226.0;21.0;4.3;5.4;;;;;;
Soya Wholebean Unsweetened Drink U.H.T.;Alpro;France;33.0;1.8;0.0;3.3;-5.0;;;;;
Protein strawberry;Arla;France;72.0;0.2;6.3;10.0;-3.0;;;;;
Kefir; Mango and Passion Fruit;Yeo Valley;France;81.0;2.0;9.7;4.0;3.0;;;;
Nordic Oat Drink;Arla;United-kingdom;47.0;1.5;3.0;0.7;5.0;;;;;
Oatly Semi Oat Drink imp;Oatly;United-kingdom;48.0;1.5;3.4;1.1;5.0;;;;;
Berry Delight Bars;Nakd;Belgium;380.0;12.0;48.0;6.7;12.0;;;;;
Coconut Milk;Tesco;France;151.0;15.0;1.9;0.9;19.0;;;;;
SOFT CHEESE;Creamfields;France;206.0;19.3;3.5;3.5;16.0;;;;;
Protein Raspberry-Pomegranate;Milbona;Bulgaria;65.0;0.3;4.0;10.0;-2.0;;;;;
Greek Style Natural Yogurt;Brooklea;United-kingdom;122.0;10.3;3.4;3.1;6.0;;;;;
Actimel;Danone,Actimel;Morocco;74.0;1.8;5.0;1.9;8.0;;;;;
Douceur fromage frais;Chergui;Morocco;256.44;24.0;3.0;7.01;14.0;;;;;
yogo fraise;extra lait;Morocco;95.0;6.9;35.24;1.99;18.0;;;;;
Delacre - Delichoc Milk Chocolate Cookies; 150g (5.3oz);Delacre;France;476.0;18.1;47.9;5.2;28.0;;;;
M&S x Zoe Gut Shot;Marks & Spencer;Inconnu;60.0;1.7;5.6;2.2;6.0;;;;;
Crème de coco légère;Bjorg;France;174.0;16.0;1.6;1.2;11.0;;;;;
Yaourt banin;Jaouda;Morocco;92.0;1.7;9.0;3.9;2.0;;;;;
Oat barista edition unsweetened;Moma;United-kingdom;58.0;2.3;3.6;0.8;8.0;;;;;
Coconut Milk;Freshona, Lidl;France;195.0;19.4;2.3;1.3;15.0;;;;;
No Sugars Oat Drink;Oatly;United-kingdom;44.0;1.5;0.0;1.0;3.0;;;;;
fromage à tartiner à l'ail et aux fines herbes;Milbona;France;288.0;27.2;2.8;6.8;15.0;;;;;
Kefir Yogurt;Graham’s;United-kingdom;76.0;4.1;4.3;5.1;5.0;;;;;
Protein drink plus;Zott;France;77.0;1.2;4.6;10.9;;;;;;
Dairy Milk;Cadbury;United-kingdom;535.0;30.5;55.0;7.5;31.0;;;;;
Emmental râpé;Marque Repère, Les Croisés, Scamark (Filiale E. Leclerc);France;371.0;29.0;0.5;27.0;11.0;;;;;
Zahra Bayane;linea;France;32.0;0.0;0.0;3.1;-6.0;;;;;
Super Thick Kerned Yogurt;Yeo Valley;United-kingdom;95.0;5.0;3.5;9.0;2.0;;;;;
Oat Milk;Actileaf;Ireland;49.2;1.52;4.6;1.32;5.0;;;;;
Emmental Français Sans additif;Entremont;France;382.0;30.0;0.5;28.0;10.0;;;;;
Avoine;Carrefour;Belgium;43.0;1.2;5.0;0.5;6.0;;;;;
Semi-Skimmed Milk 4pts;Cravendale, Duracell, Tesco;United-kingdom;49.0;1.7;4.8;3.6;-1.0;;;;;
Bio napitak od zobi;Vemondo;Bulgaria;37.0;1.2;4.4;0.4;6.0;;;;;
Coconut And Rice Milk;Vemondo;Bulgaria;19.0;0.9;1.9;0.0;3.0;;;;;
Fruity favourites;Yeo Valley;United-kingdom;109.4;5.17;9.52;5.05;2.0;;;;;
Mousline Nature;Mousline;France;345.0;0.8;2.3;7.5;2.0;;;;;
Parmigiano Reggiano;Casa azzurra, Granarolo;Belgium;402.0;30.0;0.0;32.0;14.0;;;;;
Greek Style Natural Yogurt;Creamfields;United-kingdom;91.0;6.3;4.6;4.0;5.0;;;;;
Tomato; Grana Padano & Mascarpone;Heinz;;95.0;6.4;4.7;2.9;;;;;
Kiri carré 12p;Kiri;Morocco;230.0;20.0;2.0;9.0;16.0;;;;;
Yaourt grec;Delta;France;134.0;10.0;3.8;6.5;6.0;;;;;
200G CHOC LAIT COTE D OR;Côte d’or, Mondelez;Belgium;520.0;28.0;55.0;7.4;31.0;;;;;
Barista Oat milk - Vemondo;Vemondo;Ireland;52.0;2.8;2.2;0.72;7.0;;;;;
Soya Drink Unsweetened;The Grower's Harvest, Tesco;United-kingdom;28.0;1.3;0.3;3.0;-4.0;;;;;
Bio Organic Almond Drink;Milbona, Vemondo;Belgium;22.6;1.2;2.3;0.5;4.0;;;;;
Pizzarella premium;Gastro mixte;Morocco;5280.0;40.0;0.0;8.0;27.0;;;;;
Semi Skimmed Milk;Sainsbury's;France;50.0;1.8;4.8;3.6;0.0;;;;;
Lait Amande calcium;Bio Village, Marque Repère;France;26.0;1.7;0.5;0.7;2.0;;;;;
Coco sans sucres;Bjorg;France;18.0;1.4;0.5;0.6;2.0;;;;;
Yogur natural proteínas 0%;Hacendado;Spain;52.0;0.5;3.1;10.0;-4.0;;;;;
High Protein Joghurterzeugnis - Heidelbeere;Milbona;Bulgaria;65.0;0.3;4.0;10.0;-2.0;;;;;
lait sans lactose;Jaouda;Morocco;58.2;3.0;0.0;3.0;0.0;;;;;
Suckies Strawberry;The Collective;United-kingdom;76.0;2.7;7.3;3.9;7.0;;;;;
Nooco;nooco;Morocco;494.0;23.5;0.0;8.2;4.0;;;;;
Albane;;Morocco;6.0;3.0;0.1;3.2;14.0;;;;;
Chocolate Orange Milk;Terry's;Romania;524.0;29.0;59.0;5.8;32.0;;;;;
Sweetened Condensed Milk;Nestlé;France;322.0;8.0;55.0;7.6;18.0;;;;;
Kefir;Yeo Valley;United-kingdom;64.0;2.1;5.4;4.7;3.0;;;;;
Almette Cu Smântân?;Almette;France;259.0;25.0;3.0;5.6;19.0;;;;;
Lindt Excellence Milk Chocolate 100g;Lindt;Australia;566.0;37.0;50.0;6.5;32.0;;;;;
0% Fat Vanilla Yogurt;Yeo Valley;France;81.0;0.0;14.0;5.8;2.0;;;;;
HIPRO Saveur Vanille-Cookie;Danone;Belgium;58.0;0.4;5.1;8.3;;;;;;
Bounty 2x;Mars;Algeria;483.0;24.1;48.3;3.45;27.0;;;;;
coconut milk;consumers pride;France;142.0;15.0;1.6;1.0;17.0;;;;;
High Protein Soja Drink;alpro;France;57.0;2.8;2.5;5.0;-1.0;;;;;
Onken;natural set yogurt;United-kingdom;64.0;3.5;4.7;3.3;2.0;;;;;
Yaourt le nature;D.P.F.F.,Danone,Danone Produits Frais France;France;45.0;1.0;5.1;3.8;0.0;;;;;
Extra Mature Cheddar;Cathedral City;France;416.0;34.9;0.1;25.4;16.0;;;;;
Extra Mature Cheddar Cheese;Cathedral City;France;416.0;34.9;0.1;25.4;16.0;;;;;
Milk Chocolate Rice Cakes imp;Kallo;France;495.0;23.0;27.0;7.0;22.0;;;;;
Cheesestrings;Strings and things;Ireland;305.0;22.5;1.0;23.0;14.0;;;;;
Light;Leerdammer;Spain;260.0;16.0;0.5;29.5;13.0;;;;;
Kefir Drink;Biotiful Dairy Ltd;United-kingdom;63.0;2.6;5.0;3.1;2.0;;;;;
Total 0%;Fage;United-kingdom;54.0;0.0;3.0;10.0;-4.0;;;;;
Mozzarella râpée;Milbona;France;309.0;22.8;0.1;23.3;10.0;;;;;
LactoFree Semi Skimmed Milk Drink 1 Litre;Arla;United-kingdom;38.0;1.5;2.6;3.4;-2.0;;;;;
Fromage blanc nature 3;0%mg pot 900g;U;France;74.0;3.0;4.3;7.3;;;;;
Kokosnussdrink mit Soja; Barista;alpro;Bulgaria;33.0;1.4;3.3;1.5;;;;;
Milka;Milka;France;542.0;33.0;53.0;4.6;32.0;;;;;
54% cocoa dark milk chocolate bar;Marks & Spencer;Hong-kong;574.0;39.6;36.4;9.0;23.0;;;;;
Natural Strained Greek Yoghurt;Waitrose No 1;Greece;129.0;10.0;4.0;6.0;-1.0;;;;;
P'tit Yop; Goût Fraise;Yoplait;Belgium;65.0;0.8;10.4;3.0;;;;;
Bebida de Soja UHT;Hacendado;Spain;31.0;1.7;0.6;3.1;-4.0;;;;;
Yeo Valley Organic Kefir Strawberry Fermented Yoghurt;Yeo Valley;United-kingdom;79.0;1.9;9.5;4.2;10.0;;;;;
Gluten Free Barista Oat Drink;Plenish;United-kingdom;46.0;0.9;2.6;0.3;5.0;;;;;
Everyday Essentials Soya Unsweetened;Aldi;United-kingdom;33.2;1.72;0.6;3.0;-3.0;;;;;
Mikado;LU;France;477.0;19.0;34.0;7.7;28.0;;;;;
Family Farm Raspberry;Yeo Valley Family farm;France;99.0;4.0;11.1;4.7;5.0;;;;;
Reduced Salt Yeast Extract (Marmite);Sainsbury's, By sainsbury's, Sainsburys;United-kingdom;231.0;0.5;0.5;40.7;22.0;;;;;
Kiri carré 24p;Kiri;Morocco;230.0;20.0;2.0;9.0;16.0;;;;;
Semi Skimmed Milk;Tesco;France;50.0;1.8;4.8;3.6;3.0;;;;;
Cold Milled Flaxseed;Linwoods;France;526.0;41.0;1.6;23.0;-9.0;;;;;
Cream Cheese;Paysan Breton;France;252.0;24.0;3.0;5.9;16.0;;;;;
SMOOZY;;Morocco;9.0;1.2;8.9;9.0;21.0;;;;;
Organic Coconut Milk;Kara;France;178.0;18.0;1.8;2.0;12.0;;;;;
6,11127E+12;jaouda;Morocco;52.8;2.4;0.0;3.1;0.0;;;;;
Framboise délicate;Les 2 Vaches;France;90.0;2.8;12.0;3.8;4.0;;;;;
Dark Chocolate;Schogetten;Bolivia;525.0;31.0;47.0;6.4;29.0;;;;;
CHOCOLATE NUTRITION SHAKE;fairlife nutrition plan;United-states;44.1;0.735;0.588;8.82;9.0;;;;;
Supreme Dark 90%;Lindt;Algeria;592.0;55.0;7.0;10.0;19.0;;;;;
Tonik;bimo;Morocco;504.0;22.2;40.0;4.35;28.0;;;;;
Chocolat noir - 85% cacao;J.D. Gross;Austria;600.0;48.0;12.0;12.0;15.0;;;;;
